query_id,scene_id,query,method,quality_eligible,hit_at_1,hit_at_3,reciprocal_rank,selected_view_id,views_checked,selected_cluster_ids,query_input_tokens,query_encoder_latency_ms
qv2_001,ConferenceHall,Find the piano,flat_clip,True,True,True,1.0,v011,20,,5,5.222694
qv2_001,ConferenceHall,Find the piano,manual_hierarchy_clip,True,True,True,1.0,v011,8,manual_zone_conferencehall_exit_wayfinding|manual_zone_conferencehall_elevator_access,5,5.222694
qv2_001,ConferenceHall,Find the piano,raw_rgbd_hierarchy_clip,True,False,False,0.0,v019,3,raw_cluster_02|raw_cluster_04,5,5.222694
qv2_002,ConferenceHall,Find the reception counter,flat_clip,True,False,True,0.5,v019,20,,6,5.222694
qv2_002,ConferenceHall,Find the reception counter,manual_hierarchy_clip,True,False,False,0.0,v019,14,manual_zone_conferencehall_exit_wayfinding|manual_zone_conferencehall_lounge_corridor,6,5.222694
qv2_002,ConferenceHall,Find the reception counter,raw_rgbd_hierarchy_clip,True,False,True,0.5,v019,2,raw_cluster_02|raw_cluster_05,6,5.222694
qv2_003,ConferenceHall,Find the green exit sign,flat_clip,True,True,True,1.0,v019,20,,7,5.222694
qv2_003,ConferenceHall,Find the green exit sign,manual_hierarchy_clip,True,True,True,1.0,v019,14,manual_zone_conferencehall_exit_wayfinding|manual_zone_conferencehall_lounge_corridor,7,5.222694
qv2_003,ConferenceHall,Find the green exit sign,raw_rgbd_hierarchy_clip,True,True,True,1.0,v019,3,raw_cluster_02|raw_cluster_04,7,5.222694
qv2_004,ConferenceHall,Find the elevator doors,flat_clip,True,False,True,0.3333333333333333,v019,20,,6,5.222694
qv2_004,ConferenceHall,Find the elevator doors,manual_hierarchy_clip,True,False,True,0.5,v019,8,manual_zone_conferencehall_exit_wayfinding|manual_zone_conferencehall_elevator_access,6,5.222694
qv2_004,ConferenceHall,Find the elevator doors,raw_rgbd_hierarchy_clip,True,False,False,0.0,v019,3,raw_cluster_02|raw_cluster_04,6,5.222694
qv2_005,ConferenceHall,Find the round tables,flat_clip,True,True,True,1.0,v017,20,,6,5.222694
qv2_005,ConferenceHall,Find the round tables,manual_hierarchy_clip,True,False,False,0.14285714285714285,v003,8,manual_zone_conferencehall_exit_wayfinding|manual_zone_conferencehall_elevator_access,6,5.222694
qv2_005,ConferenceHall,Find the round tables,raw_rgbd_hierarchy_clip,True,True,True,1.0,v017,15,raw_cluster_01|raw_cluster_06,6,5.222694
qv2_006,ConferenceHall,Find the black piano,flat_clip,True,True,True,1.0,v011,20,,6,5.222694
qv2_006,ConferenceHall,Find the black piano,manual_hierarchy_clip,True,True,True,1.0,v011,8,manual_zone_conferencehall_exit_wayfinding|manual_zone_conferencehall_elevator_access,6,5.222694
